group,n_files,raw_median_hz,processed_median_hz,processed_mean_hz,processed_std_hz,processed_min_hz,processed_max_hz,top_processed_clusters_0p1_hz
.,7,18.740392440556548,18.728606356978595,26.699538532200837,21.854352934452187,4.97986861521772,60.021262592950485,18.7Hz:2; 60.0Hz:2; 5.0Hz:2; 19.4Hz:1
Dataset_sensor/acoplado,28,18.74027165714867,14.320030723426012,15.914510029082525,9.701293101391094,9.4257133007225,59.86469137228571,18.8Hz:5; 9.9Hz:5; 19.7Hz:5; 9.5Hz:4; 9.4Hz:4
Dataset_sensor/forcado/fundamental,5,5.263980006250965,5.260495700568659,5.258793019707566,0.025919286483573844,5.21285838402605,5.292872265361665,5.3Hz:4; 5.2Hz:1
Dataset_sensor/forcado/quarto,5,59.96542139934568,59.97047073142342,49.014538008025326,21.908492022407195,5.197556409501353,59.97771319947348,60.0Hz:4; 5.2Hz:1
Dataset_sensor/forcado/segundo_harmonico,5,31.192081706695344,31.19381727336012,31.17014682302563,0.07389130968283805,31.045341805273768,31.243247914973455,31.2Hz:3; 31.1Hz:1; 31.0Hz:1
Dataset_sensor/forcado/terceiro,5,5.203405865658095,5.199449793675508,16.15293411496247,21.928368911958213,5.172526681071741,60.00966480706337,5.2Hz:4; 60.0Hz:1
Dataset_sensor/inox,29,4.981733643310632,4.982113632745676,4.980653997396261,0.004475975544049277,4.973992197662055,4.989855787687143,5.0Hz:29
Dataset_sensor/prof,1,18.74039244052326,18.72421453504535,18.72421453504535,0.0,18.72421453504535,18.72421453504535,18.7Hz:1
Dataset_sensor/ruido,10,39.98924411462606,39.97015459851789,36.472063631442055,10.497794781158811,4.978760334356206,40.01650165016587,40.0Hz:7; 39.9Hz:2; 5.0Hz:1
Dataset_sensor/vibracao,21,5.1219512195123045,5.118565644881544,7.0161189072040475,7.425136461042546,5.101351351351461,39.86254295532731,5.1Hz:19; 39.9Hz:1; 10.2Hz:1
Dataset_sensor/vibracao2,39,11.289011916667151,11.278471090477938,11.226415795370547,0.1549978491137274,10.73196162592457,11.360201614218832,11.3Hz:27; 11.2Hz:5; 11.1Hz:3; 10.7Hz:3; 11.4Hz:1
Dataset_sensor/vibracao2/forcado,6,59.982552332843454,59.9036748484677,43.56428282177706,23.221689317422467,10.719754977015995,60.156571899604565,10.7Hz:2; 60.0Hz:2; 59.8Hz:1; 60.2Hz:1
Resultados_Centralizados,29,4.981733643310632,4.982113632745676,4.980681238259638,0.0045230281626862465,4.973992197662055,4.989855787687143,5.0Hz:29
Resultados_Finais_Sincronizados,21,4.9810521438409845,4.982357306198148,4.9817779035723415,0.004730440738317017,4.973992197662055,4.990790802679421,5.0Hz:21
Resultados_Sincronizados,28,4.982182030761339,4.982478810874378,4.981442169129274,0.005351231881471696,4.973005855070812,4.992693619096776,5.0Hz:28
acoplado,15,36.33333333341801,36.34358875551751,28.26718829511346,16.066097035196574,1.0268228958711423,44.47042081734291,36.3Hz:5; 39.0Hz:1; 39.1Hz:1; 36.4Hz:1; 37.9Hz:1
analysis_decimal,1,62.39262139448486,60.97837421241033,60.97837421241033,0.0,60.97837421241033,60.97837421241033,61.0Hz:1
centt,10,4.985473304661698,4.984022533626276,4.979349447620635,0.010375166586886914,4.955358681786755,4.986854380453578,5.0Hz:10
inox/dados,10,4.980963436345013,4.984022533626276,4.979118739195295,0.010899327928348366,4.953233865245238,4.986854380458007,5.0Hz:10
inox/ruido,9,59.9980738981025,59.995714591741546,60.00351511801021,0.028562692804741132,59.97107001840769,60.054690786632534,60.0Hz:8; 60.1Hz:1
inox_centralizado,29,5.109905795032938,5.110294117647168,6.454717289911814,6.383649093695653,4.97466886406033,39.86254295532731,5.1Hz:19; 5.0Hz:8; 39.9Hz:1; 10.2Hz:1
novo_pipeline/centt,10,4.985473304661698,4.984022533626276,4.979349447620635,0.010375166586886914,4.955358681786755,4.986854380453578,5.0Hz:10
novo_pipeline/dado_validacao.csv,1,4.985302959443437,4.986593830650182,4.986593830650182,0.0,4.986593830650182,4.986593830650182,5.0Hz:1
novo_pipeline/resultados_limpos,9,4.98564364987996,4.985601925472182,4.979471539644004,0.011803154988622694,4.952797684673097,4.9884881043684235,5.0Hz:9
novo_pipeline/resultados_sincronizados_finais,10,4.985473304661698,4.986097878061182,4.980183768744622,0.011399493565189841,4.952797684673097,4.9884881043684235,5.0Hz:10
oscilacoesAmortecidas,10,18.7500000000437,18.758404490486136,17.511431174221077,3.758146873124187,6.237060041408001,18.782002854068786,18.8Hz:7; 18.7Hz:2; 6.2Hz:1
prof,12,18.763991795302935,18.759228826500483,17.718443860453473,3.461792860799605,6.237060041408001,18.782002854068786,18.8Hz:7; 18.7Hz:4; 6.2Hz:1
prof/dado,9,18.76741306371106,18.760671090207406,18.761433599415266,0.013685272062364476,18.74531367162579,18.781221360294705,18.8Hz:5; 18.7Hz:4
prof/dado/corrigidos,11,18.765792339366342,18.760671090207406,18.761331862026108,0.01228828885198131,18.745889059460485,18.781221360294705,18.8Hz:7; 18.7Hz:4
prof/dado/corrigidos/svd_resultados,7,18.767914827833902,18.77600730746282,18.776282827427355,0.002405176369995968,18.7733344615347,18.78000929324424,18.8Hz:7
prof/dados_tratados,9,18.755113276811553,18.760671090207406,18.75876181864406,0.010869804222360486,18.744835921068734,18.77651313201251,18.8Hz:6; 18.7Hz:3
resultados_limpos,10,4.985473304661698,4.986118704129636,4.9801775492327875,0.011395793211537034,4.952797684673097,4.9884881043684235,5.0Hz:10
