Arquivo,Alpha,Classificacao,Potencia_Media
dados_calibrados_01.csv,0.266,Branco (Térmico/Quantização),7.46366322025571e-05
dados_calibrados_02.csv,0.2272,Branco (Térmico/Quantização),5.487652116050266e-05
dados_calibrados_03.csv,0.2096,Branco (Térmico/Quantização),5.47627772440689e-05
dados_calibrados_04.csv,0.1678,Branco (Térmico/Quantização),4.986514683864016e-05
dados_calibrados_05.csv,0.1493,Branco (Térmico/Quantização),4.943124978399747e-05
dados_calibrados_06.csv,0.1674,Branco (Térmico/Quantização),5.093652841994386e-05
dados_calibrados_07.csv,0.1699,Branco (Térmico/Quantização),5.1350983029552685e-05
dados_calibrados_08.csv,0.115,Branco (Térmico/Quantização),5.279791842109316e-05
dados_calibrados_09.csv,0.1398,Branco (Térmico/Quantização),5.2956115436658536e-05
dados_calibrados_10.csv,0.1217,Branco (Térmico/Quantização),5.2681314793938034e-05
