tempo_us,posicao_mm
0,0.0118
1000,0.0118
2004,0.0118
3000,-0.0577
4004,0.0118
5000,-0.0577
6000,0.0118
7000,-0.0577
8000,0.0118
9000,0.0118
10000,-0.0577
11000,0.0118
12004,0.0118
13000,0.0118
14000,0.0118
15000,0.0118
16004,0.0118
17000,0.0813
18000,0.0118
19000,0.0118
20000,-0.0577
21000,0.0118
22000,-0.0577
23000,0.0118
24004,-0.1272
25000,0.0813
26000,0.0118
27000,0.0118
28000,0.0813
29000,0.0813
30000,0.0813
31000,0.0118
32000,0.0118
33000,0.0813
34000,0.0118
35000,0.0118
36000,-0.0577
37000,-0.0577
38000,-0.0577
39000,-0.1272
40000,-0.1272
41000,-0.1272
42000,-0.0577
43000,0.0118
44000,0.0118
45000,0.0813
46004,0.0118
47000,-0.0577
48000,0.0118
49004,0.0118
50000,0.0118
51000,0.0118
52000,0.0118
53000,0.0118
54000,0.0118
55000,-0.0577
56000,0.0118
57000,-0.0577
58000,-0.0577
59000,0.0118
60000,0.0118
61000,-0.0577
62000,0.0118
63000,0.0813
64004,0.0118
65000,0.0118
66000,0.0118
67000,0.0813
68000,0.0118
69000,0.0813
70000,-0.0577
71000,0.0118
72000,-0.0577
73004,-0.0577
74000,-0.1272
75000,-0.0577
76000,0.0118
77000,0.0118
78004,-0.0577
79000,-0.0577
80000,-0.0577
81000,0.0118
82004,-0.0577
83000,0.0118
84000,-0.0577
85000,0.0118
86000,-0.0577
87000,-0.0577
88004,-0.1272
89004,0.0118
90000,-0.1272
91000,-0.0577
92000,-0.0577
93000,0.0118
94000,0.0118
95004,-0.0577
96000,-0.0577
97000,-0.0577
98000,-0.1272
99000,0.0118
100000,0.0118
101000,-0.0577
102000,-0.0577
103000,-0.0577
104000,-0.0577
105004,-0.0577
106000,-0.0577
107000,-0.1272
108000,-0.1272
109004,-0.1272
110000,-0.0577
111000,-0.0577
112000,-0.0577
113004,-0.0577
114000,-0.0577
115000,-0.0577
116000,0.0118
117000,0.0118
118000,-0.0577
119000,-0.0577
120000,-0.0577
121004,-0.1272
122000,-0.1272
123004,-0.0577
124000,-0.1272
125004,-0.0577
126000,0.0118
127004,0.0118
128000,0.0118
129000,0.0118
130000,0.0118
131000,0.0118
132000,-0.0577
133000,-0.0577
134000,-0.0577
135000,-0.0577
136000,-0.1272
137000,-0.0577
138000,-0.1272
139000,-0.0577
140000,-0.1272
141000,-0.1967
142000,-0.1272
143000,-0.0577
144000,0.0118
145000,0.0118
146000,-0.0577
147000,0.0118
148000,0.0118
149000,0.0813
150000,0.0118
151000,0.0118
152000,0.0118
153000,-0.0577
154000,-0.0577
155000,0.0118
156000,-0.1272
157000,-0.1272
158000,-0.1272
159000,-0.0577
160000,-0.0577
161004,-0.0577
162000,-0.1272
163000,-0.0577
164000,0.0118
165000,0.0118
166000,-0.0577
167000,-0.0577
168000,-0.0577
169000,-0.0577
170000,-0.1272
171000,-0.1272
172000,-0.0577
173004,-0.0577
174000,-0.1272
175000,0.0118
176000,-0.0577
177000,0.0118
178000,0.0118
179000,0.0118
180004,0.0118
181000,0.0118
182000,-0.0577
183000,-0.0577
184000,-0.0577
185004,-0.0577
186000,-0.0577
187000,-0.0577
188000,-0.0577
189004,0.0118
190000,-0.0577
191000,-0.1272
192000,0.0118
193000,0.0118
194000,0.0813
195000,0.0118
196000,0.0118
197000,0.0118
198000,0.0118
199000,0.0118
200000,0.0118
201000,0.0118
202004,0.0118
203000,-0.0577
204000,0.0118
205000,-0.1272
206000,-0.0577
207000,-0.1272
208000,0.0118
209000,0.0118
210000,-0.0577
211000,-0.0577
212000,0.0118
213000,0.0118
214004,0.0118
215000,0.0118
216000,0.0813
217000,0.0813
218000,0.0118
219000,0.0118
220004,-0.0577
221000,0.0118
222000,-0.0577
223000,-0.1272
224004,-0.1272
225000,0.0118
226000,0.0118
227000,0.0118
228004,0.0118
229000,0.0118
230000,0.0118
231000,0.0118
232000,0.0118
233000,0.0813
234000,0.0813
235000,0.0813
236000,0.0118
237000,-0.0577
238004,0.0118
239000,-0.0577
240000,-0.0577
241000,-0.1272
242000,0.0118
243000,0.0118
244000,0.0118
245000,0.0813
246000,0.0118
247000,0.0118
248004,-0.0577
249000,0.0813
250000,0.0118
251000,0.0118
252000,-0.0577
253000,-0.0577
254000,-0.0577
255000,-0.0577
256000,-0.0577
257000,-0.1272
258000,-0.0577
259000,0.0118
260000,0.0118
261000,0.0118
262000,0.0118
263000,0.0118
264000,0.0118
265000,0.0813
266000,0.0813
267000,0.0813
268000,-0.0577
269000,0.0118
270000,0.0118
271000,-0.0577
272000,-0.0577
273000,-0.1272
274000,-0.0577
275000,-0.0577
276000,0.0118
277000,0.0118
278000,0.0118
279000,0.0118
280000,-0.0577
281000,-0.0577
282000,0.0118
283000,0.0118
284000,0.0118
285000,0.0118
286000,-0.0577
287000,-0.1272
288000,0.0118
289000,-0.1272
290000,-0.1272
291000,-0.1272
292000,-0.0577
293000,-0.0577
294000,0.0118
295000,-0.0577
296000,0.0118
297004,-0.0577
298000,0.0118
299000,0.0118
300000,0.0118
301000,-0.0577
302000,-0.0577
303000,-0.1272
304000,-0.1272
305000,-0.1272
306000,-0.1272
307000,-0.1272
308000,-0.1272
309004,-0.1272
310000,0.0118
311000,0.0118
312000,0.0118
313004,-0.0577
314000,0.0118
315004,0.0118
316000,0.0118
317000,0.0118
318000,0.0118
319004,0.0118
320000,-0.0577
321000,-0.0577
322000,-0.1272
323000,-0.0577
324000,-0.1272
325004,-0.0577
326000,-0.0577
