time_s,signal
0.0,4.515235853987722
0.001,4.416036409030449
0.002,4.412008718960427
0.003,4.2676954484629785
0.004,3.9111729453098825
0.005,3.6764960084250804
0.006,3.4294058806173537
0.007,3.041553069374971
0.008,2.6488797101299353
0.009000000000000001,2.163063002379457
0.01,1.7754579185448034
0.011,1.2724784431160105
0.012,0.722193431314695
0.013000000000000001,0.2508621441502578
0.014,-0.3089775352719006
0.015,-0.8973675012578195
0.016,-1.3460167899889584
0.017,-1.9034247088903555
0.018000000000000002,-2.276797576461876
0.019,-2.756265974852526
0.02,-3.1579157470176997
0.021,-3.5340471132513223
0.022,-3.74180135439298
0.023,-4.061026474252745
0.024,-4.269102089361075
0.025,-4.401035807402919
0.026000000000000002,-4.432068035977429
0.027,-4.4541644982982875
0.028,-4.403888334818083
0.029,-4.294093664865227
0.03,-4.040210389381156
0.031,-3.942165687084659
0.032,-3.668035463879872
0.033,-3.3535914844741184
0.034,-2.9070484922463056
0.035,-2.465998373614869
0.036000000000000004,-2.0781426480475154
0.037,-1.636068617866706
0.038,-1.1351247628055177
0.039,-0.5463399516289097
0.04,-0.018911464017571322
0.041,0.4944324968687074
0.042,0.9506864184077297
0.043000000000000003,1.498474754327851
0.044,1.9748959268192408
0.045,2.434842102592932
0.046,2.8887169937773036
0.047,3.2381617842312127
0.048,3.5981150704738805
0.049,3.855456785849918
0.05,4.101214745231153
0.051000000000000004,4.296563558679049
0.052000000000000005,4.311507550068273
0.053,4.427252877605355
0.054,4.417307584051396
0.055,4.345249744904111
0.056,4.23948456490314
0.057,4.1454515930329
0.058,3.7888317772637228
0.059000000000000004,3.5892247407798146
0.06,3.1166618260193046
0.061,2.8000704827225253
0.062,2.402289084174753
0.063,1.9679698003383894
0.064,1.4921912497101144
0.065,0.9943891270914036
0.066,0.42242585923865505
0.067,-0.103963084631851
0.068,-0.5573210825636702
0.069,-1.1206664626475893
0.07,-1.670234230099323
0.07100000000000001,-2.1361076468825146
0.07200000000000001,-2.5695424501815887
0.073,-2.9078607047468137
0.074,-3.294142681156129
0.075,-3.589617354117722
0.076,-3.9182821653008184
0.077,-4.107931106656925
0.078,-4.246681992132111
0.079,-4.396486151714558
0.08,-4.400795264415212
0.081,-4.438341280232596
0.082,-4.344283524326737
0.083,-4.206494672447263
0.084,-4.050805336052335
0.085,-3.7153307410795353
0.08600000000000001,-3.4603640100310757
0.08700000000000001,-3.0862281830329183
0.088,-2.6703646971109207
0.089,-2.2426430825081756
0.09,-1.7712223580797164
0.091,-1.3242536293236835
0.092,-0.8373468274737865
0.093,-0.305979379660731
0.094,0.13177576561164073
0.095,0.6587254042344796
0.096,1.1695893237136752
0.097,1.6732570431064495
0.098,2.206542758970156
0.099,2.5743752687128048
0.1,2.9975386594973306
0.101,3.436452959049869
0.10200000000000001,3.6620930082244043
0.10300000000000001,3.9743341808637065
0.10400000000000001,4.093937866237928
0.105,4.276337345617627
0.106,4.32594003081353
0.107,4.38299056141836
0.108,4.407787852294101
0.109,4.185062360339959
0.11,4.139957146244062
0.111,3.920218668835058
0.112,3.6149263102821325
0.113,3.258496886924271
0.114,2.9747839986362234
0.115,2.544269556149475
0.116,2.146671299164579
0.117,1.6711716957514207
0.11800000000000001,1.2623803594642555
0.11900000000000001,0.6664411486641512
0.12,0.11421028437784439
0.121,-0.3407394850175027
0.122,-0.8487543888993168
0.123,-1.2897786382864278
0.124,-1.7950387089466722
0.125,-2.272482880283851
0.126,-2.6389274634489506
0.127,-3.1557296154797414
0.128,-3.4696295985775354
0.129,-3.7777850518389835
0.13,-3.9931939478949574
0.131,-4.229899855170187
0.132,-4.259224960453795
0.133,-4.372798496680911
0.134,-4.445770517290398
0.135,-4.373269898130691
0.136,-4.197504936516797
0.137,-4.003924947890143
0.138,-3.722937871755913
0.139,-3.4014154873391678
0.14,-3.2019359402527403
0.14100000000000001,-2.903388266492779
0.14200000000000002,-2.552578066437279
0.14300000000000002,-1.991104467947513
0.14400000000000002,-1.5762019040634632
0.145,-1.0664145329633878
0.146,-0.5721332599969267
0.147,-0.037195627947967456
0.148,0.5347162793429371
0.149,0.9939911815062334
0.15,1.4691211741134143
0.151,1.8956148873364989
0.152,2.306962822226277
0.153,2.776535521548982
0.154,3.169529628286633
0.155,3.5880934124044224
0.156,3.7853027838546858
0.157,4.054804773679948
0.158,4.152262423237845
0.159,4.231878113193141
0.16,4.297560213667091
0.161,4.304309019563126
0.162,4.381909089352296
0.163,4.110414974047966
0.164,4.012225180172811
0.165,3.6893103755181613
0.166,3.4938054133267773
0.167,3.1318398214371275
0.168,2.7273547089071757
0.169,2.318192684871242
0.17,1.8407220587526179
0.171,1.4233548475602218
0.17200000000000001,0.8867746606519052
0.17300000000000001,0.3443834080205892
0.17400000000000002,-0.16747441931318047
0.17500000000000002,-0.6025475752268743
0.176,-1.031182711614502
0.177,-1.5855835904089766
0.178,-2.0607880739970783
0.179,-2.473314906292802
0.18,-2.820579127091058
0.181,-3.233229729172665
0.182,-3.5781883046950806
0.183,-3.7665916121601675
0.184,-4.011930724412841
0.185,-4.112348487697744
0.186,-4.277923446445727
0.187,-4.387112549305396
0.188,-4.373445901494159
0.189,-4.142297817093446
0.19,-4.000255136216635
0.191,-3.900729100708172
0.192,-3.6626553906520125
0.193,-3.2720399489499266
0.194,-3.056088553532765
0.195,-2.659871737747993
0.196,-2.161476566351597
0.197,-1.7618150531568886
0.198,-1.2669551754906119
0.199,-0.7822218084396756
0.2,-0.2540569651340207
0.201,0.3060763579300704
0.202,0.7434072193970244
0.203,1.2638528057279026
0.20400000000000001,1.6047380285692734
0.20500000000000002,2.156664850234834
0.20600000000000002,2.53883725113468
0.20700000000000002,2.906196053465923
0.20800000000000002,3.268298509854152
0.209,3.594760809604701
0.21,3.9066078751679387
0.211,3.9905071506056333
0.212,4.198360722243318
0.213,4.254704739705945
0.214,4.285587993176636
0.215,4.315849239287512
0.216,4.197562894208304
0.217,4.085014027891671
0.218,3.8025738098606205
0.219,3.5152135919659244
0.22,3.2296965503303268
0.221,2.8993424389905735
0.222,2.502718313682087
0.223,2.012125487288553
0.224,1.6150165299570691
0.225,1.144039006122623
0.226,0.7652225514947725
0.227,0.23130510246670005
0.228,-0.40876965487376904
0.229,-0.8787882253135583
0.23,-1.4237761826922082
0.231,-1.8475002252060233
0.232,-2.2442858262391963
0.233,-2.6105305939090075
0.234,-3.081040927069163
0.23500000000000001,-3.4089264300686035
0.23600000000000002,-3.7685304927538574
0.23700000000000002,-3.903652018869631
0.23800000000000002,-4.129188219526048
0.23900000000000002,-4.226817801384773
0.24,-4.310507022674247
